"序号","分类","R2 object key","公开图片链接","用途","原登记页面","检查状态","实际显示页面","引用文件"
"92","图标","images/icons/academy/PHIOS-ICON-PROGRESS-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/academy/PHIOS-ICON-PROGRESS-v1.svg","Progress","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"93","图标","images/icons/account/PHIOS-ICON-APPOINTMENT-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/account/PHIOS-ICON-APPOINTMENT-v1.svg","Appointment","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"94","图标","images/icons/account/PHIOS-ICON-BOOK-ACCESS-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/account/PHIOS-ICON-BOOK-ACCESS-v1.svg","Book Access","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"95","图标","images/icons/account/PHIOS-ICON-DOWNLOAD-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/account/PHIOS-ICON-DOWNLOAD-v1.svg","Download","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"96","图标","images/icons/account/PHIOS-ICON-MEMBERSHIP-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/account/PHIOS-ICON-MEMBERSHIP-v1.svg","Membership","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"97","图标","images/icons/account/PHIOS-ICON-PAYMENT-FAILURE-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/account/PHIOS-ICON-PAYMENT-FAILURE-v1.svg","Payment Failure","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"98","图标","images/icons/account/PHIOS-ICON-PAYMENT-SUCCESS-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/account/PHIOS-ICON-PAYMENT-SUCCESS-v1.svg","Payment Success","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"99","图标","images/icons/account/PHIOS-ICON-PAYMENT-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/account/PHIOS-ICON-PAYMENT-v1.svg","Payment","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"100","图标","images/icons/account/PHIOS-ICON-PRIVACY-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/account/PHIOS-ICON-PRIVACY-v1.svg","Privacy","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"101","图标","images/icons/account/PHIOS-ICON-READING-PROGRESS-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/account/PHIOS-ICON-READING-PROGRESS-v1.svg","Reading Progress","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"102","图标","images/icons/account/PHIOS-ICON-SAVED-JOURNEY-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/account/PHIOS-ICON-SAVED-JOURNEY-v1.svg","Saved Journey","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"103","图标","images/icons/global/PHIOS-ICON-ACADEMY-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/global/PHIOS-ICON-ACADEMY-v1.svg","Academy","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/hpc2-pre-icon-family-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json | content/web/homepage/hpc2/homepage-visual-consumption-v2.json"
"104","图标","images/icons/global/PHIOS-ICON-ACCOUNT-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/global/PHIOS-ICON-ACCOUNT-v1.svg","Account","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"105","图标","images/icons/global/PHIOS-ICON-ARTICLE-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/global/PHIOS-ICON-ARTICLE-v1.svg","Article","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"106","图标","images/icons/global/PHIOS-ICON-CONTINUITY-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/global/PHIOS-ICON-CONTINUITY-v1.svg","Continuity","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/hpc2-pre-icon-family-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"107","图标","images/icons/global/PHIOS-ICON-EVIDENCE-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/global/PHIOS-ICON-EVIDENCE-v1.svg","Evidence","","DISPLAYED_ON_ACTIVE_SURFACE","/professional-workspace.html","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/customer-experience-rebuild/registries/cx-r12r4-icon-reconciliation-v1.json | content/customer-experience-rebuild/registries/cx-r12r4-visual-delivery-manifest-v1.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/hpc2-pre-icon-family-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"108","图标","images/icons/global/PHIOS-ICON-FIGURE-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/global/PHIOS-ICON-FIGURE-v1.svg","Figure","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"109","图标","images/icons/global/PHIOS-ICON-FINANCIAL-REALITY-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/global/PHIOS-ICON-FINANCIAL-REALITY-v1.svg","Financial Reality","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/hpc2-pre-icon-family-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"110","图标","images/icons/global/PHIOS-ICON-HOME-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/global/PHIOS-ICON-HOME-v1.svg","Home","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"111","图标","images/icons/global/PHIOS-ICON-KNOWLEDGE-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/global/PHIOS-ICON-KNOWLEDGE-v1.svg","Knowledge","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/hpc2-pre-icon-family-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"112","图标","images/icons/global/PHIOS-ICON-LIBRARY-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/global/PHIOS-ICON-LIBRARY-v1.svg","Library","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"113","图标","images/icons/global/PHIOS-ICON-NAVIGATION-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/global/PHIOS-ICON-NAVIGATION-v1.svg","Navigation","","INTENTIONALLY_NON_RENDERED_ASSET","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/hpc2-pre-icon-family-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
"114","图标","images/icons/global/PHIOS-ICON-PERSONAL-REALITY-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/icons/global/PHIOS-ICON-PERSONAL-REALITY-v1.svg","Personal Reality","/perspectives/personal/","DISPLAYED_ON_ACTIVE_SURFACE","/perspectives/personal/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/customer-experience-rebuild/registries/cx-r12r4-icon-reconciliation-v1.json | content/customer-experience-rebuild/registries/cx-r12r4-visual-delivery-manifest-v1.json | content/product-visual-platform-r1/static-assets/evidence/pvp-r1-vis-w31-remote-verification-v1.json | content/product-visual-platform-r1/static-assets/pvp-r1-vis-w29-static-production-asset-selection-v1.json | content/product-visual-platform-r1/static-assets/pvp-r1-vis-w30-static-production-asset-registry-v1.json | content/registry/public-assets.json | content/web-production/registries/client-visual-asset-registry-v1.1.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/hpc2-pre-icon-family-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/homepage/hpc2-pre/r2-layout-reconciliation-v2.json"
